PRE,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,
1964,4.2,0.1,131.7,69.2,106.8,119.5,140.8,124.6,269.5,53.2,26.8,18.2,
1965,14.8,7.2,24.6,99.7,147.1,194.5,168,211,173.9,91.2,1,0.3,
1966,0.3,1.3,53.4,113.8,88.8,149.8,116.5,218.7,194,148.3,2.7,0.4,
1967,0,18.4,70.9,101,141.6,150.2,128.6,212.3,190.5,74.7,7.1,20.7,
1968,0.4,26.2,112.8,128.9,106,175.3,252.1,243.7,232.9,116.6,22.3,9.3,
1969,0.4,9.4,55,98.6,98.3,102.6,165.3,261.1,211.2,141.6,64.6,0,
1970,7.7,0,14.6,38.7,117.3,75.5,143.3,245,308.5,38.4,4.7,7.9,
1971,0,37.5,117.3,74.3,144.1,104.1,173.1,231.2,278.8,65.2,0.8,15.2,
1972,0,3.8,42.2,104,180.5,103.4,193.9,167.6,191.3,104.1,0,10.7,
1973,0,1.6,36.5,60.1,144.3,121.5,204.6,219.2,219,77.2,0.5,0.2,
1974,0,1.9,78.7,55.8,104.7,122.3,199.8,196.3,273.5,118.5,3.1,1.4,
1975,0,10.4,73.2,117.7,121.3,123.7,250.3,128,203.8,63,3.7,1.8,
1976,6.8,29.8,7.7,89,165.8,146.8,113.9,147.9,151.8,254.6,39,0,
1977,13.3,2.4,48.5,47.4,117.1,98.4,138.9,166.5,211.9,115.8,0,12.1,
1978,0.1,8.1,86.8,154.1,160.9,97.6,170.1,167.3,158.3,130.8,10,19.6,
1979,1.6,0,52.8,107.3,170.6,219.8,231,196.5,214,93.1,13.2,3.2,
1980,13,3.2,12.3,66.3,124.6,82.4,167.4,240.7,195,144.4,11.1,0.3,
1981,2,0.6,57,74,151.5,150.2,187.8,227.6,195.8,62.7,0.2,1.1,
1982,0,34.8,71.5,142.9,102.6,114.9,125.5,147.5,260.1,84.5,18,0,
1983,0,0.6,39.4,55.6,143.1,105.6,148.2,106.3,189.6,9.7,0.7,13.9,
1984,0,0,72.9,120.1,136.8,137.2,172.5,222.4,182.8,60.8,10.1,0,
1985,0,0,41.7,77.1,86.3,151.6,222.2,217.4,227.4,77.9,12.2,0,
1986,0,2.3,45.6,72.7,128.5,143.5,183.7,177.8,238.5,126,24.6,0,
1987,0.9,1.8,65.1,21.6,99.9,168.2,163.9,217,190.3,105.9,0.1,0.3,
1988,0,1.5,29.9,87.6,106.3,165.7,209,198.9,161.7,49.7,24.6,0.5,
1989,0,0,61.9,38.4,68.3,235.3,149.7,249.2,384.8,111.8,0.1,15.9,
1990,0.3,4.1,0,76.9,128.1,106.4,189.7,174.7,199,64.3,12.5,23.8,
1991,0,32.5,73.4,114.7,213.7,101.8,238.2,295.5,168.9,161.5,0.7,0.6,
1992,0,0.7,38,64.6,99.1,125.2,146.2,91,204.1,64.8,23.2,0,
1993,0,11.2,23,76.1,83.4,112.9,185.8,214.8,210.2,54,18,0.6,
1994,0,0,40,43.7,164.1,128.2,161.3,175.5,218.2,188.5,1.3,0,
1995,0,1.5,33.8,79.1,140.3,111.5,155.4,274.9,172.1,152.4,5.1,6.5,
1996,2,17.8,3.6,128.5,131.2,182.3,119.2,236.7,207.3,122.2,0,9.6,
1997,3.4,0,51.5,124,130.6,190,123.4,151.8,216.7,127.6,21.6,0,
1998,4.5,21,6.9,87.6,151.9,143.3,134.9,187.2,240.6,125.5,6.9,11.5,
1999,2.3,16.5,30.1,113.2,127.5,99.2,201.8,223,264.4,149.2,19.6,0.8,
2000,5.1,1.2,50.7,103.6,120.5,143.2,145.7,196.8,224,115.3,6.3,0.8,
2001,0.5,0.4,11.6,78.3,126,130.9,138.1,198.6,215.9,53.1,8.4,2.5,
2002,0.2,0.2,31.4,89,116.9,123.3,196,197.6,172.9,135.8,7.9,0.2,
2003,4.5,10.1,59.3,92.4,143.9,170.3,144.9,242.8,246.5,109.4,25.5,1.1,
2004,22.7,2.9,28.6,116,121.6,112.3,191.7,198.1,184.4,70.6,29.1,0.1,
2005,0.5,15.2,40.5,93.4,141.5,141.7,201.3,137.3,213.4,103,4.7,2,
2006,1.4,19.3,32.4,74.4,137.4,130.1,136.5,159,250.9,139.8,5.5,1.3,
2007,0,3.1,28.2,164.1,114,108.7,158.2,266.9,217.4,71.7,32.7,2.8,
2008,0.7,3.1,52.9,74.3,124.9,145.1,204,313.4,198.7,109.4,4.2,5.6,
2009,0,12.5,47.2,111.3,125.1,159.2,213.8,256.4,222.7,136.1,20,1.4,
2010,0.5,6.3,10.2,99.4,70.2,132.7,138.6,246.7,282,153.7,7.4,1,
2011,0.2,22.6,34.5,66.6,94.2,124.1,193.1,198.2,225.5,128.4,1.5,0,
2012,2.8,13.9,10.2,98.9,140.3,137.6,190.1,173.2,217.1,102.4,12,6.7,
2013,0.7,7.6,68.3,139.4,111.8,93,151.2,148.5,178.8,135.1,19.5,2.5,
2014,11,7.4,64.2,122.5,130.9,138.7,143.6,177.5,242.9,89.7,23.3,1.7,
2015,0.3,46.2,32.7,37.5,101.2,100.9,152.6,245.5,182.7,119.1,7.3,0.8,
,,,,,,,,,,,,,
