lat,lon,rr,tx,tn,rh
10.9637508,-0.330419,7.5505457,36.3096504,26.345541,47.8189392
10.9637508,-0.280419,5.6902833,36.2219467,26.2846947,48.1175194
10.9637508,-0.230419,3.883857,36.1279678,26.2217655,48.4782753
10.9637508,-0.180419,2.4667335,36.0402641,26.1629448,48.8127327
10.9637508,-0.130419,1.6894085,35.9584961,26.1079693,49.1224976
10.9637508,-0.080419,1.5862806,35.8822784,26.0565624,49.4093018
10.9637508,-0.030419,2.0013802,35.8112183,26.0084457,49.6749153
10.9137506,-2.7804191,6.2981691,34.6312408,24.3742886,56.1710777
10.9137506,-2.7304189,6.2917204,34.6519966,24.3850613,56.0997162
10.9137506,-2.680419,6.3211951,34.6759415,24.4012108,56.0091591
10.9137506,-2.630419,6.3712597,34.7035599,24.4233551,55.8969193
10.9137506,-2.5804191,6.4257493,34.7353592,24.4520969,55.760479
10.9137506,-2.5304191,6.4756947,34.7718811,24.4879913,55.5973511
10.9137506,-2.4804189,6.5222774,34.8136711,24.5315266,55.4051285
10.9137506,-2.430419,6.5710821,34.8612785,24.5831203,55.1815567
10.9137506,-2.380419,6.6225934,34.8903351,24.6343689,54.8750381
10.9137506,-2.3304191,6.2660737,34.9511948,24.7029209,54.5835304
10.9137506,-2.2804191,6.2515159,35.0194244,24.7801533,54.2552948
10.9137506,-2.2304189,6.2059855,35.0954857,24.8660603,53.8891563
10.9137506,-2.180419,6.1324759,35.1798058,24.9605293,53.484272
10.9137506,-2.130419,6.0431609,35.2727432,25.063345,53.0401344
10.9137506,-2.0804191,5.9572372,35.374588,25.1741943,52.556572
10.9137506,-2.0304191,5.8967395,35.4855537,25.2926826,52.0337868
10.9137506,-1.980419,5.8816833,35.6057549,25.4183273,51.4723473
10.9137506,-1.930419,7.6095076,35.7351952,25.5505676,50.8732491
10.9137506,-1.880419,7.8591008,35.8737297,25.6887589,50.2379913
10.9137506,-1.8304191,8.1622028,36.0210609,25.8321571,49.5686989
10.9137506,-1.780419,8.4854631,36.1766586,25.9798927,48.8682785
10.9137506,-1.730419,7.5207958,36.3397255,26.130949,48.140667
10.9137506,-1.680419,7.979682,36.5091324,26.2841091,47.3910675
10.9137506,-1.630419,8.4411783,36.6833344,26.4379196,46.6262856
10.9137506,-1.5804191,8.8932638,36.8602943,26.5906372,45.8550339
10.9137506,-1.530419,9.327014,37.037426,26.7401924,45.0882149
10.9137506,-1.480419,9.7338257,37.2115326,26.8841705,44.3390961
10.9137506,-1.430419,10.0980921,37.3788414,27.0198326,43.6232834
10.9137506,-1.380419,10.3863173,37.5350418,27.1441746,42.9583855
10.9137506,-1.3304191,10.5742521,37.675499,27.2540684,42.3632965
10.9137506,-1.280419,10.5803766,37.7954979,27.3464584,41.8570404
10.9137506,-1.230419,10.2386818,37.8906364,27.4186249,41.4572296
10.9137506,-1.180419,9.1423283,37.9572525,27.4684658,41.1783028
10.9137506,-1.130419,5.8671308,37.9928322,27.4947567,41.0298271
10.9137506,-1.0804191,9.6299887,37.9963455,27.4973469,41.0151787
10.9137506,-1.030419,18.0713558,37.9683952,27.4772167,41.1309624
10.9137506,-0.980419,14.6804667,37.9105721,27.4362125,41.3708801
10.9137506,-0.930419,14.7815504,37.8269882,27.3773746,41.7160568
10.9137506,-0.880419,24.3283749,37.7218971,27.3040409,42.1486588
10.9137506,-0.830419,41.3742104,37.6002197,27.2198143,42.6478386
10.9137506,-0.780419,33.2227135,37.4668999,27.1282043,43.1928253
10.9137506,-0.730419,7.135273,37.3265381,27.0323944,43.7644348
10.9137506,-0.680419,9.0190926,37.1831398,26.9350891,44.346035
10.9137506,-0.630419,11.2218924,37.0400009,26.8384609,44.9240646
10.9137506,-0.580419,11.9574718,36.8996811,26.7441502,45.4880867
10.9137506,-0.530419,11.8734913,36.7640457,26.6533165,46.0305748
10.9137506,-0.480419,11.6698446,36.6343651,26.5667114,46.5465126
10.9137506,-0.430419,10.8170872,36.5114098,26.4847622,47.032959
10.9137506,-0.380419,9.6542387,36.3955688,26.4076443,47.4885712
10.9137506,-0.330419,8.2330217,36.2869415,26.33535,47.9132004
10.9137506,-0.280419,6.6632805,36.1990395,26.2745647,48.2120934
10.9137506,-0.230419,5.1413751,36.1051712,26.2118492,48.5716743
10.9137506,-0.180419,3.9125266,36.0177803,26.1533318,48.904129
10.9137506,-0.130419,3.1671164,35.93647,26.0987225,49.2112694
10.9137506,-0.080419,2.9512355,35.8608246,26.04772,49.4950104
10.9137506,-0.030419,3.1718338,35.7904167,26.0000324,49.7572479
10.8637514,-2.8304191,6.0559177,34.5776215,24.3036938,56.4508667
10.8637514,-2.7804191,5.9982567,34.5933952,24.3059978,56.4096031
10.8637514,-2.7304189,6.007452,34.6118736,24.313242,56.3512611
10.8637514,-2.680419,6.0720744,34.6335373,24.3261414,56.2731781
10.8637514,-2.630419,6.1641483,34.658905,24.3454094,56.1725883
10.8637514,-2.5804191,6.2514668,34.6885262,24.3717308,56.0466995
10.8637514,-2.5304191,6.3168697,34.7229919,24.4057407,55.8927574
10.8637514,-2.4804189,6.3676839,34.762886,24.4479961,55.7081108
10.8637514,-2.430419,6.4226494,34.808815,24.4989624,55.4902916
10.8637514,-2.380419,6.4879818,34.8613586,24.5589848,55.2370872
10.8637514,-2.3304191,6.5481353,34.8972931,24.6199589,54.8996658
10.8637514,-2.2804191,6.1872072,34.9646225,24.6985798,54.5708618
10.8637514,-2.2304189,6.1170139,35.0401039,24.7865028,54.202095
10.8637514,-2.180419,5.9993191,35.1241722,24.8835506,53.7926331
10.8637514,-2.130419,5.8515234,35.217186,24.9894314,53.3421326
10.8637514,-2.0804191,5.7023001,35.3194313,25.1037483,52.8506355
10.8637514,-2.0304191,5.5847301,35.4310951,25.2260113,52.3185501
10.8637514,-1.980419,5.5282941,35.5522842,25.3556499,51.7466774
10.8637514,-1.930419,5.5521326,35.682972,25.4920158,51.1362114
10.8637514,-1.880419,7.3285346,35.8230171,25.6343918,50.4888229
10.8637514,-1.8304191,7.6706228,35.9720955,25.781971,49.8067589
10.8637514,-1.780419,8.0421648,36.1296806,25.9338436,49.0929909
10.8637514,-1.730419,7.1215844,36.2949829,26.0889626,48.3514595
10.8637514,-1.680419,7.613359,36.4668808,26.2460957,47.5873299
10.8637514,-1.630419,8.1018982,36.6438522,26.4037895,46.8073273
10.8637514,-1.5804191,8.5750523,36.8238678,26.5603046,46.0200882
10.8637514,-1.530419,9.0269709,37.0043488,26.7135735,45.2364922
10.8637514,-1.480419,9.4545937,37.1820717,26.8611794,44.4698715
10.8637514,-1.430419,9.8520393,37.3532028,27.000351,43.7360573
10.8637514,-1.380419,10.1888618,37.5133247,27.1280308,43.0530968
10.8637514,-1.3304191,10.4490347,37.6576271,27.2410069,42.4405594
10.8637514,-1.280419,10.5664167,37.781189,27.3361092,41.9183578
10.8637514,-1.230419,10.4326096,37.8793602,27.4104919,41.5051193
10.8637514,-1.180419,9.7848253,37.9482231,27.4619293,41.2162857
10.8637514,-1.130419,8.4060898,37.9850731,27.4891167,41.0622177
10.8637514,-1.0804191,17.6951294,37.9887657,27.4918766,41.0467186
10.8637514,-1.030419,20.9001865,37.9599152,27.4712315,41.1663322
10.8637514,-0.980419,11.1886635,37.900177,27.4291267,41.4145355
10.8637514,-0.930419,6.084434,37.8139915,27.368803,41.7708282
10.8637514,-0.880419,15.3728695,37.7058525,27.2937775,42.2164421
10.8637514,-0.830419,30.782568,37.5809708,27.2078438,42.7292557
10.8637514,-0.780419,29.2206459,37.444561,27.1146698,43.2873535
10.8637514,-0.730419,17.9448509,37.3014297,27.0175495,43.8706512
10.8637514,-0.680419,13.7637777,37.1557198,26.9192562,44.461937
10.8637514,-0.630419,12.9961567,37.0107918,26.8219795,45.0473518
10.8637514,-0.580419,12.6681185,36.8692169,26.7273483,45.6164055
10.8637514,-0.530419,12.1958351,36.7328339,26.6364899,46.1616974
10.8637514,-0.480419,11.9090862,36.6028519,26.550106,46.6784515
10.8637514,-0.430419,11.0942259,36.4799767,26.4685726,47.1640205
10.8637514,-0.380419,10.0776348,36.3645287,26.3920155,47.6173744
10.8637514,-0.330419,8.8917046,36.2565346,26.320385,48.0386658
10.8637514,-0.280419,7.6148663,36.1694145,26.2603111,48.3336716
10.8637514,-0.230419,6.3820105,36.0764771,26.1983528,48.6886559
10.8637514,-0.180419,5.3581777,35.9901085,26.140604,49.0161247
10.8637514,-0.130419,4.6770401,35.9098778,26.0867596,49.3180504
10.8637514,-0.080419,4.3857756,35.8353386,26.0365086,49.5964661
10.8137512,-2.880419,5.8547277,34.5298347,24.2421589,56.6970291
10.8137512,-2.8304191,5.6904416,34.5409889,24.2358932,56.6851463
10.8137512,-2.7804191,5.614368,34.5543213,24.2339611,56.6587372
10.8137512,-2.7304189,5.6445751,34.5702972,24.2371559,56.6150246
10.8137512,-2.680419,5.7688046,34.5894318,24.2462997,56.5510521
10.8137512,-2.630419,5.936832,34.6122818,24.2622089,56.4637413
10.8137512,-2.5804191,6.0817165,34.6394501,24.2856693,56.349987
10.8137512,-2.5304191,6.1658115,34.6715698,24.3174095,56.2067223
10.8137512,-2.4804189,6.2104669,34.7092896,24.3580647,56.0310173
10.8137512,-2.430419,6.2667799,34.7532463,24.4081535,55.8201828
10.8137512,-2.380419,6.354125,34.8040733,24.4680576,55.5718498
10.8137512,-2.3304191,6.4414835,34.8397675,24.5300884,55.2391701
10.8137512,-2.2804191,6.4796252,34.9058914,24.6100559,54.9106522
10.8137512,-2.2304189,6.0369554,34.9804726,24.6999893,54.5400848
10.8137512,-2.180419,5.8576965,35.0639458,24.7996311,54.1269264
10.8137512,-2.130419,5.6266236,35.1566467,24.9085884,53.6710854
10.8137512,-2.0804191,5.3871098,35.258831,25.0263462,53.1729202
10.8137512,-2.0304191,5.1896453,35.3706627,25.1522923,52.6331787
10.8137512,-1.980419,5.0785565,35.4921951,25.285738,52.05299
10.8137512,-1.930419,5.08043,35.6233711,25.4259262,51.4338837
10.8137512,-1.880419,6.6888833,35.7639999,25.5720406,50.7778015
10.8137512,-1.8304191,7.0705256,35.9137306,25.723196,50.0872078
10.8137512,-1.780419,7.521841,36.07201,25.8784256,49.3652191
10.8137512,-1.730419,6.665628,36.2380447,26.0366402,48.6158371
10.8137512,-1.680419,7.1955914,36.410717,26.1966019,47.8442039
10.8137512,-1.630419,7.7100105,36.5885162,26.3568573,47.056942
10.8137512,-1.5804191,8.1970186,36.769455,26.5156975,46.2625313
10.8137512,-1.530419,8.6555662,36.9509773,26.6710873,45.4716606
10.8137512,-1.480419,9.0912476,37.1299019,26.8206463,44.6974869
10.8137512,-1.430419,10.0041361,37.3024025,26.9616432,43.9557381
10.8137512,-1.380419,9.8995619,37.4640503,27.0910435,43.2644844
10.8137512,-1.3304191,10.255147,37.609993,27.2056313,42.643486
10.8137512,-1.280419,10.5488729,37.735199,27.3022175,42.1130409
10.8137512,-1.230419,10.7703247,37.8348961,27.3779106,41.6923027
10.8137512,-1.180419,10.9606619,37.9050255,27.4304333,41.397316
10.8137512,-1.130419,11.7772884,37.9427414,27.4584351,41.238987
10.8137512,-1.0804191,14.6867352,37.9468231,27.4617233,41.2214584
10.8137512,-1.030419,14.6860142,37.9178658,27.4413433,41.3413086
10.8137512,-0.980419,6.8350649,37.8573265,27.3992233,41.5933037
10.8137512,-0.930419,0.2315295,37.7703018,27.3388577,41.9531784
10.8137512,-0.880419,7.7045631,37.6612015,27.2637939,42.4029541
10.8137512,-0.830419,18.2570114,37.5354233,27.177927,42.9197044
10.8137512,-0.780419,21.0172958,37.3983345,27.0850048,43.4808235
10.8137512,-0.730419,18.2639408,37.2548447,26.9883652,44.065731
10.8137512,-0.680419,15.5146694,37.1091576,26.8907909,44.6569405
10.8137512,-0.630419,14.0103483,36.964653,26.7944584,45.2405205
